district_name,data_quality,updated_fields,missing_sources,population_2024,population_density_per_km2_2024,rent_eur_per_sqm_miet_check_2026,rent_source_name,crime_cases_2024_pks,crime_source_name,crime_rate_per_1000_residents,daycare_facilities_2025,primary_schools_2024_2025,private_car_density_per_1000_2025,living_space_per_resident_m2_2024,single_households_share_pct,households_with_children_share_pct,one_two_family_home_share_pct,rentPerSqm,safetyScore,quietnessScore,greenScore,publicTransportScore,schoolScore,kindergartenScore,nightlifeScore
Eppendorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,25234,9346,17.9,Eppendorf,2108,Eppendorf,83.538,13,3,299.0,45.1,62.4,13.4,2.9,17.9,9.8,5.7,5.2,6.4,2.2,5.1,6.0
Farmsen-Berne,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,39266,4789,12.85,Farmsen-Berne,2557,Farmsen-Berne,65.12,23,4,351.0,35.1,47.8,21.8,30.9,12.85,9.9,7.8,6.3,5.0,1.7,4.2,3.6
Finkenwerder,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,10.37,Finkenwerder,673,Finkenwerder,,,,,,,,,10.37,7.5,6.4,8.7,6.9,7.3,8.2,6.1
Francop,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,749,85,10.37,Francop,21,Francop,28.037,0,0,538.0,45.3,44.5,19.5,67.1,10.37,10.0,10.0,8.7,2.1,1.0,1.0,2.5
Fuhlsbüttel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,13984,1793,13.76,Fuhlsbüttel,4311,Fuhlsbüttel,308.281,9,3,340.0,38.9,56.4,16.0,20.8,13.76,9.1,9.2,7.0,4.7,2.7,5.0,3.9
Groß Borstel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,10939,2735,15.43,Groß Borstel,812,Groß Borstel,74.23,9,1,336.0,37.2,52.6,20.1,29.9,15.43,9.8,8.8,6.9,4.9,1.7,5.6,3.6
Groß Flottbek,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,11319,4716,16.91,Groß Flottbek,423,Groß Flottbek,37.371,9,1,414.0,53.3,44.8,24.0,38.8,16.91,9.9,7.8,7.5,4.3,1.6,5.2,3.2
Gut Moor,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,12.66,Gut Moor,9,Gut Moor,,,,,,,,,12.66,5.4,6.8,6.7,6.4,6.6,7.4,5.4
HafenCity,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,8062,3359,16.64,HafenCity,1315,HafenCity,163.111,5,2,239.0,46.4,37.0,26.9,0.6,16.64,9.6,8.5,6.6,6.1,2.6,4.2,2.2
Hamburg-Altstadt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,2549,1961,18.78,Hamburg-Altstadt,7737,Altstadt,3035.308,2,0,231.0,49.9,63.2,11.4,2.1,18.78,1.0,9.1,7.2,6.0,1.0,8.0,4.7
Hamm,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,38871,9967,14.77,"Average of Hamm-Mitte, Hamm-Nord, Hamm-Süd",3107,Hamm,79.931,16,2,250.0,36.0,68.8,11.1,0.8,14.77,9.8,5.4,4.5,7.0,1.6,4.7,6.7
Hammerbrook,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,6943,2777,16.68,Hammerbrook,3006,Hammerbrook,432.954,6,0,128.0,29.7,57.0,11.7,1.1,16.68,8.8,8.7,5.9,7.3,1.0,7.6,4.5
Harburg,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,29237,7309,11.93,Harburg,8327,Harburg,284.81,16,2,186.0,29.2,61.8,15.6,1.8,11.93,9.2,6.6,4.8,7.4,1.6,4.7,5.4
Harvestehude,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,17962,8553,19.97,Harvestehude,1438,Harvestehude,80.058,15,0,368.0,54.3,59.8,14.6,6.3,19.97,9.8,6.1,6.0,5.5,1.0,7.0,5.6
Hausbruch,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,16919,1726,11.8,Hausbruch,1006,Hausbruch,59.46,9,1,366.0,37.5,41.2,22.7,36.6,11.8,9.9,9.2,7.3,4.4,1.4,4.0,2.4
Heimfeld,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,22995,1769,11.93,Heimfeld,1817,Heimfeld,79.017,9,2,282.0,34.2,55.9,18.8,14.3,11.93,9.8,9.2,6.6,5.3,1.7,3.3,3.7
Hoheluft-Ost,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,9853,16422,18.65,Hoheluft-Ost,628,Hoheluft-Ost,63.737,6,1,300.0,43.9,63.9,13.4,1.5,18.65,9.9,2.4,3.5,7.5,2.1,6.0,7.6
Hoheluft-West,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,13641,19487,18.41,Hoheluft-West,719,Hoheluft-West,52.709,8,1,250.0,39.6,67.0,12.5,1.3,18.41,9.9,1.0,2.5,8.6,1.8,6.0,8.5
Hohenfelde,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,10097,8414,17.39,Hohenfelde,1334,Hohenfelde,132.118,3,0,256.0,39.5,67.1,11.1,3.0,17.39,9.7,6.1,5.1,6.7,1.0,3.5,6.3
Horn,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,39186,6642,11.78,Horn,2967,Horn,75.716,14,5,255.0,31.7,60.0,16.1,4.3,11.78,9.8,6.9,5.1,6.5,2.1,3.3,5.1
Hummelsbüttel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,18731,2058,13.27,Hummelsbüttel,825,Hummelsbüttel,44.045,11,1,393.0,41.2,43.6,21.2,26.2,13.27,9.9,9.1,7.2,4.1,1.4,4.4,2.8
Iserbrook,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,11523,4268,14.42,Iserbrook,407,Iserbrook,35.321,8,3,391.0,42.0,47.9,21.2,41.3,14.42,10.0,8.0,7.0,4.5,3.0,5.1,3.5
Jenfeld,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,29391,5878,14.24,Jenfeld,1992,Jenfeld,67.776,18,4,287.0,31.3,48.3,22.1,18.0,14.24,9.9,7.3,5.6,6.0,1.9,4.2,3.8
Kirchwerder,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,10398,322,12.38,Kirchwerder,222,Kirchwerder,21.35,9,3,553.0,47.4,36.7,22.9,68.1,12.38,10.0,9.9,8.8,2.0,3.2,6.0,1.9
Kleiner Grasbrook,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,16.64,Kleiner Grasbrook,214,Kleiner Grasbrook,,,,,,,,,16.64,5.5,7.8,6.3,5.4,5.4,6,3.6
Langenbek,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,4075,5094,11.93,Langenbek,240,Langenbek,58.896,1,0,442.0,40.3,42.5,20.7,59.1,11.93,9.9,7.7,7.1,4.0,1.0,2.5,3.4
Langenhorn,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,48901,3649,12.78,Langenhorn,3339,Langenhorn,68.281,29,5,356.0,36.2,49.2,20.7,36.4,12.78,9.9,8.3,6.7,4.8,1.8,4.4,3.5
Lemsahl-Mellingstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,7031,879,13.29,Lemsahl-Mellingstedt,206,Lemsahl-Mellingstedt,29.299,6,1,573.0,58.5,30.1,27.2,86.4,13.29,10.0,9.6,9.6,1.8,1.9,5.3,1.2
Lohbrügge,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,41400,3185,11.41,Lohbrügge,2518,Lohbrügge,60.821,16,4,367.0,37.6,50.2,18.7,21.1,11.41,9.9,8.5,6.6,4.6,1.8,3.4,3.6
Lokstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,31666,6462,17.8,Lokstedt,1532,Lokstedt,48.38,27,3,303.0,37.8,54.5,19.7,13.6,17.8,9.9,7.0,5.7,5.9,1.7,6.1,4.5
Lurup,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,37755,5993,13.77,Lurup,2227,Lurup,58.986,21,4,321.0,34.8,46.9,23.2,31.0,13.77,9.9,7.2,6.0,5.6,1.7,3.9,3.7
Marienthal,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,13779,4306,15.47,Marienthal,1617,Marienthal,117.352,9,1,384.0,46.5,52.9,17.9,22.6,15.47,9.7,8.0,6.9,4.6,1.6,5.3,4.1
Marmstorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,9290,1602,11.19,Marmstorf,381,Marmstorf,41.012,4,2,426.0,43.0,44.9,19.6,47.9,11.19,9.9,9.3,7.8,3.7,2.7,3.6,2.9
Moorburg,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,11.52,Moorburg,55,Moorburg,,,,,,,,,11.52,5.2,7.8,8.2,5.6,5.4,6.9,5.3
Moorfleet,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,1203,273,11.45,Moorfleet,260,Moorfleet,216.126,0,0,524.0,42.7,45.2,15.2,69.3,11.45,9.4,9.9,8.6,2.3,1.0,1.0,2.9
Neuallermöhe,partially-sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore,Miet-Check rent row,23233,5532,,,1243,Neuallermöhe,53.501,11,3,334.0,32.5,34.6,28.2,26.4,15.7,9.9,7.5,5.9,5.4,1.8,3.3,2.4
Neuenfelde,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,5314,339,10.37,Neuenfelde,202,Neuenfelde,38.013,3,1,398.0,35.1,44.5,25.0,58.5,10.37,9.9,9.9,7.9,3.8,2.1,3.5,2.2
Neuengamme,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,3731,201,12.06,Neuengamme,76,Neuengamme,20.37,2,0,569.0,49.0,38.1,22.1,70.5,12.06,10.0,9.9,8.9,1.8,1.0,4.2,2.0
Neugraben-Fischbek,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,35295,1569,11.59,Neugraben-Fischbek,2533,Neugraben-Fischbek,71.767,22,5,351.0,37.5,40.3,26.1,38.7,11.59,9.8,9.3,7.3,4.5,1.9,4.0,2.1
Neuland,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,12.66,Neuland,203,Neuland,,,,,,,,,12.66,6.1,7.5,6.6,8,5.9,6.7,3.3
Neustadt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,12710,5526,20.41,Neustadt,4256,Neustadt,334.854,10,1,229.0,39.3,69.6,10.9,1.2,20.41,9.1,7.5,5.7,6.6,2.0,8.5,5.9
Neuwerk,placeholder,,Statistikamt Stadtteilprofile row|Miet-Check rent row,,,,,1,Insel Neuwerk,,,,,,,,,15.1,6.5,6.3,8.1,7.6,6.4,6.3,3.2
Niendorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,42496,3427,14.6,Niendorf,2619,Niendorf,61.629,20,5,398.0,43.4,50.3,18.2,34.5,14.6,9.9,8.4,7.1,4.3,2.0,4.1,3.7
Nienstedten,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,7062,1605,16.31,Nienstedten,303,Nienstedten,42.906,7,1,502.0,59.0,45.8,20.8,52.0,16.31,9.9,9.3,8.8,2.8,2.1,6.8,2.8
Ochsenwerder,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,3015,214,12.38,Ochsenwerder,76,Ochsenwerder,25.207,2,1,570.0,47.7,36.4,25.1,65.8,12.38,10.0,9.9,8.8,1.8,3.2,4.4,1.7
Ohlsdorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,17813,2474,13.48,Ohlsdorf,1209,Ohlsdorf,67.872,12,2,315.0,38.2,55.6,18.8,19.2,13.48,9.9,8.9,6.8,5.1,1.9,5.2,3.8
Osdorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,26601,3644,15.32,Osdorf,1857,Osdorf,69.809,17,4,349.0,40.1,48.3,22.2,27.1,15.32,9.9,8.3,6.8,4.9,2.0,4.4,3.3
Othmarschen,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,16528,2801,16.77,Othmarschen,1093,Othmarschen,66.13,11,4,415.0,52.0,43.5,24.3,30.8,16.77,9.9,8.7,7.7,4.0,2.6,4.5,2.7
Ottensen,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,35925,12830,17.92,Ottensen,2994,Ottensen,83.34,35,2,257.0,39.8,62.1,15.8,2.5,17.92,9.8,4.1,4.1,7.4,1.5,8.0,6.6
Poppenbüttel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,24598,3037,13.91,Poppenbüttel,1487,Poppenbüttel,60.452,12,3,444.0,47.8,42.9,20.6,51.2,13.91,9.9,8.6,7.8,3.7,2.0,4.0,3.0
Rahlstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,95836,3603,12.73,Rahlstedt,6526,Rahlstedt,68.095,40,12,379.0,38.6,47.4,20.8,27.2,12.73,9.9,8.4,6.7,4.5,1.9,3.4,3.4
Reitbrook,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,497,72,12.38,Reitbrook,10,Reitbrook,20.121,0,0,634.0,56.6,41.4,16.9,68.9,12.38,10.0,10.0,9.4,1.0,1.0,1.0,2.5
Rissen,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,16429,984,15.38,Rissen,773,Rissen,47.051,9,2,425.0,49.7,46.4,21.1,43.7,15.38,9.9,9.6,8.2,3.6,1.9,4.0,2.7
Rönneburg,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,3243,1474,11.93,Rönneburg,149,Rönneburg,45.945,1,1,468.0,42.0,42.4,22.1,52.7,11.93,9.9,9.3,7.9,3.2,3.2,2.7,2.5
Rothenburgsort,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,11236,1561,12.08,Rothenburgsort,1351,Rothenburgsort,120.239,4,1,213.0,27.1,56.1,18.1,1.8,12.08,9.7,9.3,6.0,6.1,1.7,3.1,3.7
Rotherbaum,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,17253,6390,20.71,Rotherbaum,1713,Rotherbaum,99.287,16,1,308.0,50.3,64.3,13.1,3.7,20.71,9.8,7.1,6.2,5.8,1.6,8.6,5.6
Sasel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,24287,2891,13.89,Sasel,708,Sasel,29.151,14,3,512.0,52.5,37.9,23.9,66.2,13.89,10.0,8.7,8.4,2.9,1.9,4.2,2.4
Schnelsen,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,31323,3480,13.75,Schnelsen,1461,Schnelsen,46.643,29,4,394.0,39.9,44.5,22.6,36.8,13.75,9.9,8.4,7.0,4.3,1.9,6.1,3.0
Sinstorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,4329,1732,11.93,Sinstorf,177,Sinstorf,40.887,2,1,392.0,35.5,41.0,25.0,54.5,11.93,9.9,9.2,7.5,4.1,2.3,3.1,2.3
Spadenland,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,537,158,12.38,Spadenland,15,Spadenland,27.933,0,0,601.0,49.7,39.2,18.3,53.9,12.38,10.0,9.9,8.6,1.4,1.0,1.0,2.3
