district_name,rent_eur_per_sqm,source_url,accessed_date
Kirchwerder,12.38,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Kleiner Grasbrook,16.64,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Kleingartenanlage,13.74,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Langenbek,11.93,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Langenhorn,12.78,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Lemsahl-Mellingstedt,13.29,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Lohbrügge,11.41,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Lokstedt,17.80,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Lurup,13.77,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Marienthal,15.47,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Marmstorf,11.19,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Moorburg,11.52,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Moorfleet,11.45,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Neuenfelde,10.37,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Neuengamme,12.06,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Neugraben-Fischbek,11.59,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Neuland,12.66,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Neustadt,20.41,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Niendorf,14.60,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Nienstedten,16.31,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Ochsenwerder,12.38,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Ohlsdorf,13.48,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Osdorf,15.32,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Othmarschen,16.77,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Ottensen,17.92,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Poppenbüttel,13.91,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Rahlstedt,12.73,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Reitbrook,12.38,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Rissen,15.38,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Rönneburg,11.93,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Rothenburgsort,12.08,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Rotherbaum,20.71,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Sasel,13.89,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Schnelsen,13.75,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Sinstorf,11.93,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Spadenland,12.38,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
St. Georg,18.20,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
St. Pauli,19.69,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Steilshoop,12.05,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Steinwerder,15.76,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Stellingen,17.07,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Sternschanze,18.89,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Sülldorf,15.60,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Tatenberg,12.38,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Tonndorf,13.67,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Uhlenhorst,19.18,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Veddel,11.87,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Volksdorf,13.69,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Waltershof,10.37,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Wandsbek,14.23,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Wellingsbüttel,14.36,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Wilhelmsburg,11.35,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Wilstorf,11.87,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Winterhude,17.70,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
Wohldorf-Ohlstedt,13.53,https://www.miet-check.de/stadtteile_uebersicht.php?stadt=Hamburg,2026-05-24
